segment;expected;rank;hypothesis;codepoint;distance;similarity
10;Қ;8;Ң;U+04A2;0.84875414;0.54090481
10;Қ;9;Ь;U+042C;0.85086754;0.54028718
10;Қ;10;Б;U+0411;0.85513564;0.53904414
10;Қ;11;Ц;U+0426;0.85615793;0.53874726
10;Қ;12;Ы;U+042B;0.85850198;0.53806776
10;Қ;13;Н;U+041D;0.86893190;0.53506497
10;Қ;14;П;U+041F;0.88257991;0.53118595
10;Қ;15;Щ;U+0429;0.91588914;0.52195087
10;Қ;16;Ф;U+0424;0.92621532;0.51915276
10;Қ;17;Ө;U+04E8;0.93618106;0.51648062
10;Қ;18;И;U+0418;0.94802203;0.51334122
10;Қ;19;М;U+041C;0.95434952;0.51167920
10;Қ;20;С;U+0421;0.97361457;0.50668455
10;Қ;21;Й;U+0419;0.98479270;0.50383095
10;Қ;22;Ү;U+04AE;0.99425863;0.50143948
10;Қ;23;Д;U+0414;0.99494696;0.50126646
10;Қ;24;Ч;U+0427;0.99795363;0.50051212
10;Қ;25;Г;U+0413;1.00720745;0.49820461
10;Қ;26;Ұ;U+04B0;1.02328475;0.49424580
10;Қ;27;Е;U+0415;1.02676751;0.49339650
10;Қ;28;Ә;U+04D8;1.02909414;0.49283076
10;Қ;29;У;U+0423;1.05108236;0.48754746
10;Қ;30;Я;U+042F;1.08126757;0.48047642
10;Қ;31;Ё;U+0401;1.08869539;0.47876775
10;Қ;32;Л;U+041B;1.14692326;0.46578283
10;Қ;33;Э;U+042D;1.15631783;0.46375353
10;Қ;34;Ш;U+0428;1.16415476;0.46207416
10;Қ;35;З;U+0417;1.16596863;0.46168720
10;Қ;36;Ж;U+0416;1.23719290;0.44698872
10;Қ;37;Ъ;U+042A;1.24715290;0.44500755
10;Қ;38;А;U+0410;1.24734564;0.44496938
10;Қ;39;Т;U+0422;1.29902299;0.43496738
10;Қ;40;Ғ;U+0492;1.31734716;0.43152792
10;Қ;41;І;U+0406;1.33704863;0.42789011
10;Қ;42;Х;U+0425;1.38715628;0.41890848
11;С;1;С;U+0421;0.08879490;0.91844662
11;С;2;О;U+041E;0.58809402;0.62968564
11;С;3;Г;U+0413;0.71569338;0.58285473
11;С;4;Е;U+0415;0.72891008;0.57839908
11;С;5;Б;U+0411;0.72995805;0.57804870
11;С;6;Р;U+0420;0.74660637;0.57253885
11;С;7;З;U+0417;0.76116616;0.56780559
11;С;8;В;U+0412;0.79435627;0.55730292
11;С;9;Ь;U+042C;0.80916344;0.55274166
11;С;10;Ө;U+04E8;0.81659716;0.55047978
11;С;11;Э;U+042D;0.81872152;0.54983679
11;С;12;Ё;U+0401;0.82077362;0.54921709
11;С;13;Ә;U+04D8;0.83699928;0.54436603
11;С;14;Д;U+0414;0.90289324;0.52551556
11;С;15;У;U+0423;0.92942379;0.51828945
11;С;16;Қ;U+049A;0.93652563;0.51638872
11;С;17;Һ;U+04BA;0.94894598;0.51309785
11;С;18;Ю;U+042E;0.94958081;0.51293078
11;С;19;Ц;U+0426;0.97596294;0.50608237
11;С;20;Ғ;U+0492;0.98369041;0.50411092
11;С;21;П;U+041F;0.99185231;0.50204525
11;С;22;Ъ;U+042A;0.99799107;0.50050274
11;С;23;Я;U+042F;1.00607209;0.49848657
11;С;24;Т;U+0422;1.01044025;0.49740349
11;С;25;Ұ;U+04B0;1.02489163;0.49385359
11;С;26;Щ;U+0429;1.04837340;0.48819224
11;С;27;Ы;U+042B;1.05314263;0.48705822
11;С;28;Ң;U+04A2;1.05895946;0.48568222
